Transaction_Date	ID	First_Name	Last_Name	Birth_Date	Sex	Income
2015-01-01	83	Jared	Troxler	1962-12-10	11	15794
2015-01-01	84	Alfonso	Todd	1996-06-06	11	82762
2015-01-01	85	Mariah	Truong	1993-09-17	12	11453
2015-01-01	86	Pravan	Gomez	1970-06-09	11	40469
2015-01-01	87	Cameron	Suits	1992-01-10	11	31089
2015-01-01	88	Ribbon	Nunnally	1965-03-12	12	12647
2015-01-01	89	Kendell	Guerrero Galindo	1951-12-28	12	98569
2015-01-01	90	Veronica	Garbarini	1981-11-23	12	33458
2015-01-01	91	Summer	Reichert	1962-01-21	12	2000000
2015-01-01	92	Ghaada	Palma	1983-03-20	12	2000000
2015-01-01	93	Megan	al-Salik	1989-11-14	12	2000000
2015-01-01	94	Doan	Garza	1996-06-14	11	2000000
2015-01-01	95	Moriah	Phelps	1992-02-21	12	2000000
2015-01-01	96	Henry	Herrera	1991-07-03	11	2000000
2015-01-01	97	Monica	al-Salam	1975-03-26	12	2000000
2015-01-01	98	J'Quan	Birdsong	1988-12-29	11	2000000
2015-01-01	99	Dwight	Barili	1951-03-09	11	2000000
2015-01-01	100	Abdul Kareem	al-Dawood	1997-10-08	11	2000000
2017-01-01	101	Muneera	Robinson-Williams	1966-08-02	12	79873
2017-01-01	102	Jenna	Seeley	1971-10-21	12	65101
2017-01-01	103	Abbaas	Quan	1963-10-14	11	65078
2017-01-01	104	Belen	Shangreaux	1951-03-31	12	38469
2017-01-01	105	Carlos	Bailey	1998-06-10	11	29021
2017-01-01	106	Nathan	Yohe-Ironwing	1950-06-14	11	17373
2017-01-01	107	Juan	Solis	1997-01-11	11	79558
2017-01-01	108	Angela	Vigil	1974-12-08	12	19106
2017-01-01	109	Zakkary	Orozco	1986-10-28	11	27675
2017-01-01	110	Isaac	Anderson	1967-06-07	11	53820
2017-01-01	111	Sidney	Adame Tarin	1963-12-26	11	99443
2017-01-01	112	Mikael	Caminada	1997-01-30	11	38884
2017-01-01	113	Raymond	el-Zaher	1972-08-12	11	72789
2017-01-01	114	Arhab	Chavez	1952-08-31	11	17281
2017-01-01	115	Hawraa	al-Hashim	1983-02-09	12	29312
2017-01-01	116	Matthew	al-Kamel	1977-07-16	11	83737
2017-01-01	117	Bailey	al-El-Sayed	1995-01-02	12	87298
2017-01-01	118	Jiyaad	al-Siddique	1952-08-03	11	22541
2017-01-01	119	Sarah	Nguyen	1989-07-19	12	57465
2017-01-01	120	Roberto	Bhattarai	1965-09-23	11	75680
2017-01-01	121	 Huda	el-Sultan	1979-08-02	12	64608
2017-01-01	122	Breanna	el-Husain	1994-01-28	12	80568
2017-01-01	123	Charlotte	Oh	1983-08-22	12	86207
2017-01-01	124	Rawda	Garcia	1993-08-22	12	91817
2017-01-01	125	Timothy	Knodel-Eldridge	1954-02-07	11	41054
2017-01-01	126	Kevin	Tran	1990-05-22	11	48989
2017-01-01	127	Bryce	White Bear	1982-09-21	11	13254
2017-01-01	128	Caleb	Frailey	1986-11-07	11	58783
2017-01-01	129	Susana	Adhikari	1971-10-03	12	55925
2017-01-01	130	Savannah	Soto	1974-03-04	12	47727
2017-01-01	131	Taylor	al-Rashid	1996-01-20	12	50155
2017-01-01	132	Samantha	al-Farha	1978-10-10	12	73285
2017-01-01	133	Gabriel	Moss	1966-06-19	11	33096
2017-01-01	134	Alizi	el-Darwish	1984-01-21	11	69709
2017-01-01	135	John	el-Nasrallah	1956-08-18	11	75350
2017-01-01	136	Anne	Bates	1973-12-24	12	35648
2017-01-01	137	Chelsey	Turner	1980-08-22	12	17046
2017-01-01	138	Jake	Spotton	1970-12-21	11	31851
2017-01-01	139	Saalim	Jones	1996-06-30	11	44445
2017-01-01	140	Colten	al-Mohammadi	1979-06-25	11	92426
2017-01-01	141	Joshua	Barmer	1968-12-03	11	2000000
2017-01-01	142	Alexis	Valdez	1989-08-02	12	2000000
2017-01-01	143	Meseret	Spoon	1999-04-12	12	2000000
2017-01-01	144	Alexus	Tewahade	1969-06-24	12	2000000
2017-01-01	145	Abdus Samad	Martinez	1963-05-05	11	2000000
2017-01-01	146	Ghaazi	Gardella	1973-01-27	11	3000000
2017-01-01	147	Bilaal	Selke	1955-03-02	11	3000000
2017-01-01	148	Miranda	Nasreldin	1955-03-22	12	3000000
2017-01-01	149	Matthew	Johnson	1968-11-03	11	3000000
2017-01-01	150	Jeremiah	Foreman	1986-03-14	11	3000000
